Program,Organization,min_funding,max_funding,Program_Eligibility,Use_of_Funds,Area,Website,Website_complete,Type_of_Fund,Targeted_Applicants,Phone,Zip_Code
Entrepreneur Loan Fund,Small Business Development Corporation of Orange County,2000,30000,"Must be a small business or individual(s) becoming a small business, licensed in California, located in a low-wealth community, low-wealth individual (business owner(s) with annual income equal to or less than the statewide average per capita income), loan proceeds must be used in California","Start-up and ongoing costs, acquisition or leasing of real property, buildings, machinery, equipment, inventory, construction, repair of buildings, machinery, equipment, tenant improvements, working capital, program loan fees",California,sbfdoc.org,https://sbfdoc.org/elf,Loan,Economically Disadvantaged,(714) 571-1900,90011
Small Business Disaster Relief Loan Guarantee Program,Small Business Development Corporation of Orange County,0,1250000,Small businesses and nonprofits with 1-750 employees,"Significant actual physical damage, significant economic injury, disaster relief",California,sbfdoc.org,https://sbfdoc.org/disaster,COVID-19 Specific Loan,"Economically Disadvantaged, Refugees and Immigrants",(714) 571-1900,90011
State Loan Guarantee,Small Business Development Corporation of Orange County,0,400000,"Entrepreneurs who seek to start, acquire, grow, or expand a business, for-profit companies, nonprofits located within a State Enterprise Zone","Startup costs, construction, inventory, working capital, business expansion, agriculture, lines of credit",California,sbfdoc.org,https://sbfdoc.org/elf,Loan,Economically Disadvantaged,(714) 571-1900,90011
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,California,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women, Economically Disadvantaged",(712) 542-5137,90011
Direct Emergency,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",California,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(712) 542-5137,90011
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",California,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(712) 542-5137,90011
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",California,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(712) 542-5137,90011
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",California,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(712) 542-5137,90011
Direct Operating,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",California,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(712) 542-5137,90011
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",California,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(712) 542-5137,90011
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",California,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(530) 792-5800,90011
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",California,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(530) 792-5800,90011
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures",,California,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(530) 792-5800,90011
Bureau of Indian Affairs (BIA) Loan Program,Chickasaw Community Bank,0,400000,American Indian-owned businesses located on or near a reservation or recognized service area,"Real estate, equipment, construction","Canadian, Cleveland, Grady, Lincoln, Logan, McClain, Oklahoma counties",www.ccb.bank,https://www.ccb.bank/business/commercial-loans/government-guaranteed,Loan - Guaranteed,American Indian and Alaska Native,(405) 946-2265,73099
U.S. Department of Agricultureâ€™s Business and Industry (USDA B&I) Loan Program,Chickasaw Community Bank,0,400000,Small businesses,Contact provider,"Canadian, Cleveland, Grady, Lincoln, Logan, McClain, Oklahoma counties",www.ccb.bank,https://www.ccb.bank/business/commercial-loans/government-guaranteed,Loan - Guaranteed,Economically Disadvantaged,(405) 946-2265,73099
CWVenture Micro-Loan Program,"Charleston Main Streets, Inc.",500,5000,Startup and expanding businesses,"Working capital, real estate, capital improvements, machinery and equipment",Charleston,www.cwvmainstreets.org,https://www.cwvmainstreets.org/cwventure-microloan-program.html,Loan,Not specified,(304) 767-9800,25301
EDA Revolving Loan Fund Program,Greater Nashville Regional Council,0,200000,Small businesses,Business operations,"Cheatham, Davidson, Dickson, Houston, Humphreys, Montgomery, Robertson, Rutherford, Stewart, Sumner, Trousdale, Williamson, and Wilson counties",www.gnrc.org,https://www.gnrc.org/212/Small-Business-Lending,Loan - Revolving Loan Fund,Not specified,(615) 862-8828,37013
Intermediary Relending Program,Greater Nashville Regional Council,0,250000,"Businesses in cities with populations of less than 25,000 or unincorporated areas in 13 Middle Tennessee counties","Business acquisition, construction and renovation, land acquisition and development, equipment, machinery or supplies, leasehold improvements, startup costs, working capital, pollution control and abatement, transportation services, feasibility studies and some fees, building of hotels/ motels/convention centers, educational institutions, aquaculture-based rural small business, revolving lines of credit","Cheatham, Davidson, Dickson, Houston, Humphreys, Montgomery, Robertson, Rutherford, Stewart, Sumner, Trousdale, Williamson, Wilson counties",www.gnrc.org,https://www.gnrc.org/212/Small-Business-Lending,Loan - Revolving Loan Fund,Not specified,(615) 862-8828,37013
Streamlined TIF,Chicago Department of Business Affairs and Consumer Protection,25000,1000000,Small businesses,"Land acquisition, clearance and site preparation, environmental remediation, building rehabilitation and repair, permanent signs or awnings, rehabilitation and remodeling of existing tenant improvements, streets, streetscaping and other public infrastructure improvements, related professional fees",Chicago,www.chicago.gov,https://www.chicago.gov/city/en/depts/bacp/sbc/grants_-_propertyimprovements.html,Grant,Not specified,(312) 744-6249,60629
Small Business Mobilization Fund,City of Charlotte,15000,75000,"Small business enterprises, certified for a minimum of 2 consecutive years, private for-profit, engaged in contracting on eligible municipal contracts and demonstrating a need for working capital for account receivables, acquisition of inventory, and/or materials",Temporary working capital,"City of Charlotte, Mecklenburg County",charlottenc.gov,https://charlottenc.gov/GS/procurement/cbi/Pages/mobilization-loan.aspx,Loan,Not specified,(704) 336-3380,28269
Los Angeles City Small Business Emergency Microloan Program,"Economic and Workforce Development Department, City of Los Angeles",5000,20000,"For-profit and tax-exempt businesses, 100 or fewer employees, located in a commercial-use building within City of Los Angeles, Tax Registration Certificate filed prior to March 01, 2020",Working capital,City of Los Angeles,ewddlacity.com,https://ewddlacity.com/index.php/microloan-program,COVID-19 Specific Loan,Not specified,(213) 744-7300,90011
Small Business Loan,"Economic and Workforce Development Department, City of Los Angeles",50000,500000,Small businesses with 500 or fewer employees,"Inventory, equipment, working capital",City of Los Angeles,ewddlacity.com,https://ewddlacity.com/index.php/small-business-loans,Loan,Not specified,(213) 744-7300,90011
Business Loan Program - Commercial Ventures,Pawtucket Business Development Corporation,0,10000,"Retail and service-sector borrowers, including startups, in Pawtucket",Inventory and leasehold improvements.,City of Pawtucket,www.pawtucketri.com,http://www.pawtucketri.com/pbdc-loan-program,Loan,Not specified,(401) 728-0500,2860
